x,y,z,q0,q1,q2,q3,q4,q5
2.0,9.0,1.0,5.6807401110734554,0.0,0.0,0.0,0.0,0.0
2.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,40.77616520156112,0.0,0.0,0.0,0.0,0.6705767664977298
3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1.0,0.0,169.13991646801546,0.0,34.159266532498116,0.0,0.0,0.0
3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1.0,2.0,7.457953671251592,0.0,0.0,0.0,0.0,0.0
3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,2.0,0.0,3585.0474482399736,-6.577787152645825,0.0,0.0,0.0,121.8057054676124
3.0,2.0,1.0,1642.9175387093533,0.0,0.0,0.0,8.641377430069491,161.9000502666697
3.0,2.0,2.0,79.93649114943673,0.0,0.0,0.0,0.0,188.15677381673322
3.0,2.0,3.0,78.37896157530588,0.0,0.0,0.0,0.0,0.0
3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,3.0,0.0,4988.729136566752,634.5884717470561,1713.6590202026832,869.0257852452528,749.5105927515938,2402.4287030453593
3.0,3.0,1.0,4737.799696662415,372.3965947501417,0.0,133.1874880869569,24.37255630276728,857.1304741217992
3.0,3.0,2.0,239.58659324294013,0.0,0.0,0.0,0.0,1459.160263090485
3.0,3.0,3.0,312.8606020883203,-5.023130583001984,0.0,0.0,0.0,0.0
3.0,3.0,4.0,13.189045274060433,-4.801567483787512,0.0,0.0,0.0,10.872470205984804
3.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,4.0,0.0,5069.867381112568,3555.28144210123,4572.429450075806,3605.6028084688714,4680.871342290739,4404.246442395598
3.0,4.0,1.0,5121.970419470117,914.3045802149595,2867.158709148539,2158.5393063798965,1766.8296342295587,1727.5928743244529
3.0,4.0,2.0,4373.4770645092885,-9.417749202160923,-3.0318817831830884,4.497707686925866,392.0069683328964,0.0
3.0,4.0,3.0,2260.284166611415,-4.128212302892548,0.0,10.79427862253729,19.301909670961273,0.0
3.0,4.0,4.0,155.52088072725383,0.0,0.0,18.78673133138218,0.0,200.27237776028346
3.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,5.0,0.0,5060.575088327201,4939.46463208903,4965.57662411949,5058.358814483607,5067.598623824609,5010.035983087556
3.0,5.0,1.0,5122.1647731483445,4135.993807243422,4377.155534077496,4810.352105160091,3865.2036192926134,4763.818667916124
3.0,5.0,2.0,5045.694554699984,100.50753547509167,810.5173418148172,971.21281646958,155.61142820835647,2383.9211934437376
3.0,5.0,3.0,1668.5821844146271,0.0,95.39674037834597,215.10283380669847,0.0,471.1727615806876
3.0,5.0,4.0,450.174168591765,0.0,-3.2507271004449616,0.0,0.0,0.0
